"","B401","B402","B403","B405","B406","B407","B408","B409","B410","B411","B413","B414","B419","B421","B422","B423","B424","B425","B426","B427","B428","B429","B430","B431","B432","B433","B434","B435","B436","B437","B438","B439","B440","B442","B443","B444","B445","B446","B447","B448","B450","B451","B452","B454","B455","B457","B458","B459","B460","B461","B463","B464","B465","B467","B470","B471","B472","B473","B474","B477","B478","B479","B480","B481","B482","B483","B484","B485","B486","B487","B488","B489","B490","B492","B493","B494","B495","B498","B500","NEGCNTRL"
"0c1f5c8fd55682c528d9dad2b2d11755",0,212,23,125,6789,0,0,113,0,859,24,17,0,110,0,466,0,8,10,1127,365,13,10216,1972,30,806,416,6,244,0,7,1183,783,0,8758,70,358,12,49,1503,166,53,206,16,0,1772,1138,14,1999,0,1611,630,9,22,281,34,0,89,0,15,622,0,54915,88,0,242,1407,24,58,0,32,928,775,9,14,64,35,151,18,923
"ee7f85a9745e703f2412a4786504ab28",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,551,0,0,0,0,115,0,0,101418,47,0,0,0,0,0,36,0,0,0,0,1451,25,0,46,0,0,110,150,36,57,54,248,53
"1b36252be9e332187989f003d0087b0b",25,703,63,0,136,0,141,56,242,770,811,293,410,104,1119,251,198,1645,260,454,177,429,0,2564,1609,245,242,828,72,444,307,0,0,1950,4283,44,0,198,66,7868,694,0,0,345,25509,2603,409,15637,767,487,0,1148,408,1105,278,1531,90,677,103,2295,169,297,56,218,260,6327,3291,4376,321,272,138,0,1372,292,810,25,66,0,1697,1088
"f3789de45b9d4d18d64e21bd27215b9d",0,0,0,0,0,0,0,211,0,0,0,0,0,49,0,0,0,0,0,391,168,0,0,2323,40,0,0,0,90,0,0,0,0,0,4165,55,0,0,0,4672,272,0,0,58,0,11824,480,160,0,0,0,816,0,0,371,32,0,0,0,0,230,26,0,46,0,0,70771,151,0,0,0,0,1224,16,0,0,0,0,43,4536
"9efc0e8bdf920fbbdbeaf13ffdf8c701",0,1267,32,0,0,0,27,0,43,54,0,0,71,0,242,150,37,332,86,0,0,81995,363,0,0,100,0,200,0,455,2745,0,606,1163,0,0,266,776,0,0,0,0,177,0,1339,0,0,0,32,1497,114,0,19,0,168,0,0,244,0,495,0,69,26,0,875,150,0,0,0,2092,0,159,0,0,26,0,301,80,9,0
"86b91664fc0cd6c2383f5c8af44ba8a1",0,5,0,0,0,0,0,161,0,12,9,11,10,12118,0,8,17,18,9,1332,15653,22,12,13,23,31,30,38,32163,0,40,0,23,15,38,7312,6,14,6,16,2,0,9,0,0,8,4573,6,5,7,5,0,5,8,8,0,0,0,9,9,6977,16,0,8975,16,18,7,8,0,10,5,10,4,0,9,3449,6,0,0,0
"ffe3d3fe310c538692689faff127d863",26,2243,301,255,709,0,20,715,14,675,0,16,436,361,203,13583,79,2262,474,3169,1480,1139,15134,641,190,1685,643,980,787,117,678,2374,1968,350,353,243,954,433,66,195,119,42,1714,31,751,300,3341,134,523,481,3843,503,188,10,5589,123,218,1452,85,853,1771,322,322,303,1576,1340,238,398,0,837,213,2658,887,344,335,169,312,904,112,342
"e7684ead98ce8a772760dc4166037d95",18,1404,238,12,912,14,275,142,10,270,66,62,1660,838,716,832,264,7945,2067,1320,2813,5660,377,687,278,544,689,3557,1674,160,154,91,359,0,435,13732,380,135,261,182,154,65,6662,22,2120,297,1901,110,1824,639,413,567,287,60,731,909,87,1018,307,2878,1461,1335,376,1293,448,718,201,76,19,335,927,294,1142,374,502,1351,63,5133,95,190
"8bdc52f3c54f1bcaa25634bc8d51e2d5",7,364,24,220,561,0,80,400,5,249,988,168,742,304,971,258,137,3542,515,4078,1301,71,4481,14,0,241,593,15312,738,59,110,2027,599,51,32,372,307,208,45,55,9,24,204,0,7611,4682,4036,0,1517,126,2361,28,0,324,2496,0,25,224,56,2343,1877,514,247,299,561,210,75,2050,398,44,236,1125,16,0,0,181,75,130,0,13814
"ea63129feae94f39851aa8ef9848425a",349,81,0,116,302,171,422,0,38,55,2973,1482,1662,450,1026,201,1063,5940,3028,111,1277,1157,560,964,2464,93,1461,3754,1104,132,619,1038,406,308,1001,312,468,601,754,458,220,408,243,82,2331,847,462,1252,112,570,1260,802,3132,4270,64,1952,2967,0,806,2491,858,1669,117,324,538,206,421,2693,1434,820,1592,716,918,7308,3825,132,215,92,1180,317
"58b7c876238cf2fa7ff3e8ea55dbb9a6",6,1045,372,4,576,431,812,62,5,294,99,114,3315,79,1508,461,396,2832,704,599,460,145,126,411,1659,787,268,33474,216,84,56,10,200,27,288,93,184,55,975,119,116,850,540,11,2570,550,637,110,794,424,36,392,259,80,497,46,98,908,6566,1756,393,715,230,82,22,744,214,11502,43,152,347,73,739,536,371,29,22,249,72,165
"72f970f2068107fe4a9e1d96d4ce0d67",0,68,0,1087,674,0,0,0,0,172,27,30,0,79,0,192,106,0,14,42,462,17,10255,165,0,234,59,0,234,0,0,10310,8019,0,90,63,4286,35,80,48,42,40,7397,0,34,27,107,0,454,34,15253,155,0,29,97,0,0,38,127,24,170,0,253,61,433,7344,37,0,23,20,0,8226,296,0,0,36,27,6301,0,14
